promotionid,promotiondistrictid,promotionname,mediatype,cost,startdate,enddate
66,110,PriceWinners,StreetHandout,10364.0000,1998-07-03,1998-07-06
67,110,PriceWinners,SundayPaper|Radio|TV,6626.0000,1998-07-15,1998-07-17
68,110,SavingsGalore,SundayPaper,12714.0000,1998-07-29,1998-07-31
69,110,PriceDestroyers,TV,11076.0000,1998-08-12,1998-08-14
70,110,TwoDaySale,DailyPaper|Radio|TV,10929.0000,1998-08-27,1998-08-30
71,110,CouponSpectacular,DailyPaper,5736.0000,1998-09-08,1998-09-09
72,110,WalletSavers,SundayPaper,13533.0000,1998-09-23,1998-09-27
73,110,ShelfClearingDays,TV,5522.0000,1998-10-06,1998-10-10
74,110,SavingsGalore,TV,10756.0000,1998-10-21,1998-10-23
75,110,Save-ItSale,In-StoreCoupon,6763.0000,1998-11-06,1998-11-08
76,110,PriceSlashers,DailyPaper|Radio,6270.0000,1998-11-20,1998-11-23
77,110,DoubleDownSale,Radio,13132.0000,1998-12-01,1998-12-04
78,110,MysterySale,SundayPaper|Radio,13747.0000,1998-12-16,1998-12-17
81,111,ICantBelieveItSale,SundayPaper|Radio|TV,7895.0000,1996-01-17,1996-01-19
82,111,PriceWinners,Radio,6547.0000,1996-01-31,1996-02-03
83,111,DollarDays,Radio,9645.0000,1996-02-14,1996-02-18
84,111,OneDaySale,DailyPaper,5225.0000,1996-02-27,1996-03-01
85,111,PriceWinners,SundayPaper|Radio,9177.0000,1996-03-14,1996-03-17
86,111,Save-ItSale,BulkMail,5866.0000,1996-03-29,1996-03-31
87,111,PriceWinners,Radio,7509.0000,1996-04-12,1996-04-16
88,111,DoubleYourSavings,SundayPaper|Radio|TV,14798.0000,1996-04-24,1996-04-26
89,111,WalletSavers,DailyPaper,13623.0000,1996-05-09,1996-05-11
90,111,ShelfClearingDays,StreetHandout,6939.0000,1996-05-24,1996-05-26
91,111,UnbeatablePriceSavers,TV,9783.0000,1996-06-07,1996-06-09
92,111,ShelfEmptiers,CashRegisterHandout,8781.0000,1996-06-20,1996-06-22
93,111,PriceSmashers,Radio,9823.0000,1996-07-04,1996-07-05
94,111,ThreeforOne,SundayPaper,9930.0000,1996-07-18,1996-07-19
95,111,WeekendMarkdown,Radio,11318.0000,1996-07-31,1996-08-03
96,111,SalesDays,SundayPaper|Radio|TV,12026.0000,1996-08-14,1996-08-16
97,111,PriceCutters,ProductAttachment,10597.0000,1996-08-27,1996-08-28
98,111,PriceWinners,SundayPaper|Radio,6085.0000,1996-09-10,1996-09-12
99,111,PriceSlashers,ProductAttachment,8674.0000,1996-09-27,1996-09-28
100,111,MoneyGrabbers,StreetHandout,14992.0000,1996-10-08,1996-10-10
101,111,PriceSavers,DailyPaper,8436.0000,1996-10-23,1996-10-27
102,111,DollarDays,StreetHandout,11961.0000,1996-11-06,1996-11-08
103,111,SaleWinners,DailyPaper|Radio,10440.0000,1996-11-19,1996-11-22
104,111,Save-ItSale,CashRegisterHandout,14565.0000,1996-12-04,1996-12-05
105,111,SalesGalore,DailyPaper,10226.0000,1996-12-18,1996-12-20
106,111,SuperSavers,CashRegisterHandout,11788.0000,1996-12-31,1997-01-02
107,111,SavingsGalore,ProductAttachment,11468.0000,1997-01-14,1997-01-15
108,111,GoForIt,Radio,7302.0000,1997-01-29,1997-02-01
109,111,HighRollerSavings,StreetHandout,7836.0000,1997-02-12,1997-02-14
110,111,CouponSpectacular,DailyPaper|Radio|TV,6025.0000,1997-02-26,1997-02-28
111,111,PriceWinners,DailyPaper|Radio,6905.0000,1997-03-13,1997-03-15
112,111,BagStuffers,DailyPaper|Radio,11793.0000,1997-03-26,1997-03-29
113,111,DimesOff,CashRegisterHandout,7200.0000,1997-04-10,1997-04-12
114,111,FreeForAll,ProductAttachment,12180.0000,1997-04-23,1997-04-25
115,111,DoubleDownSale,DailyPaper|Radio,11605.0000,1997-05-08,1997-05-09
116,111,YouSaveDays,TV,10858.0000,1997-05-20,1997-05-22
117,111,SaleWinners,CashRegisterHandout,8482.0000,1997-06-04,1997-06-07
118,111,SuperSavers,TV,11498.0000,1997-06-20,1997-06-24
119,111,UnbeatablePriceSavers,DailyPaper,9469.0000,1997-07-02,1997-07-06
120,111,UnbeatablePriceSavers,DailyPaper,10430.0000,1997-07-16,1997-07-19
121,111,OneDaySale,StreetHandout,9515.0000,1997-07-31,1997-08-04
122,111,TipTopSavings,CashRegisterHandout,7913.0000,1997-08-13,1997-08-15
123,111,BagStuffers,DailyPaper,14428.0000,1997-08-26,1997-08-29
124,111,BigPromo,SundayPaper|Radio|TV,7098.0000,1997-09-10,1997-09-12
125,111,BigPromo,StreetHandout,7124.0000,1997-09-25,1997-09-27
126,111,SalesGalore,DailyPaper|Radio,10903.0000,1997-10-08,1997-10-10
127,111,PriceCutters,StreetHandout,8620.0000,1997-10-22,1997-10-23
128,111,SuperWalletSavers,In-StoreCoupon,12999.0000,1997-11-04,1997-11-06
129,111,Save-ItSale,In-StoreCoupon,5242.0000,1997-11-18,1997-11-21
130,111,BagStuffers,In-StoreCoupon,7058.0000,1997-12-04,1997-12-07
131,111,MoneySavers,In-StoreCoupon,13320.0000,1997-12-19,1997-12-23
132,111,BigTimeDiscounts,DailyPaper|Radio|TV,10654.0000,1998-01-02,1998-01-03
133,111,BigPromo,CashRegisterHandout,7770.0000,1998-01-16,1998-01-17
134,111,PriceDestroyers,SundayPaper|Radio|TV,7623.0000,1998-01-27,1998-01-31
135,111,SuperDuperSavers,SundayPaper,12430.0000,1998-02-12,1998-02-15
136,111,PriceDestroyers,CashRegisterHandout,10227.0000,1998-02-24,1998-02-26
137,111,DoubleYourSavings,StreetHandout,12216.0000,1998-03-12,1998-03-15
138,111,TwoDaySale,CashRegisterHandout,7450.0000,1998-03-27,1998-03-30
139,111,SaleWinners,BulkMail,10802.0000,1998-04-09,1998-04-13
140,111,DoubleDownSale,ProductAttachment,12964.0000,1998-04-23,1998-04-25
141,111,DollarCutters,DailyPaper|Radio|TV,7170.0000,1998-05-07,1998-05-09
142,111,PickYourSavings,SundayPaper|Radio,14506.0000,1998-05-20,1998-05-24
143,111,CouponSpectacular,DailyPaper,9058.0000,1998-06-03,1998-06-06
144,111,DollarDays,StreetHandout,10274.0000,1998-06-17,1998-06-20
145,111,FantasticDiscounts,DailyPaper|Radio|TV,12009.0000,1998-07-01,1998-07-04
146,111,TwoDaySale,TV,10661.0000,1998-07-16,1998-07-18
147,111,YouSaveDays,SundayPaper,13758.0000,1998-07-30,1998-08-01
148,111,ByeByeBaby,ProductAttachment,9338.0000,1998-08-13,1998-08-17
149,111,TwoDaySale,DailyPaper|Radio|TV,13290.0000,1998-08-25,1998-08-26
150,111,BagStuffers,CashRegisterHandout,9979.0000,1998-09-09,1998-09-12
151,111,TwoDaySale,TV,11622.0000,1998-09-23,1998-09-25
152,111,SalesDays,In-StoreCoupon,10157.0000,1998-10-08,1998-10-11
153,111,BigTimeSavings,StreetHandout,6327.0000,1998-10-20,1998-10-23
154,111,DollarCutters,DailyPaper,11052.0000,1998-11-06,1998-11-09
155,111,OneDaySale,CashRegisterHandout,13896.0000,1998-11-18,1998-11-21
156,111,PriceCutters,SundayPaper|Radio,10238.0000,1998-12-04,1998-12-07
157,111,WalletSavers,TV,13936.0000,1998-12-15,1998-12-17
158,111,PickYourSavings,SundayPaper|Radio|TV,14043.0000,1998-12-29,1999-01-01
160,112,CouponSpectacular,In-StoreCoupon,6139.0000,1996-01-18,1996-01-21
161,112,SaleWinners,Radio,12054.0000,1996-01-31,1996-02-03
162,112,PriceWinners,StreetHandout,6756.0000,1996-02-13,1996-02-15
163,112,GreenLightSpecial,In-StoreCoupon,6689.0000,1996-02-29,1996-03-02
164,112,DimesOff,SundayPaper,9106.0000,1996-03-13,1996-03-16
165,112,SalesGalore,DailyPaper|Radio|TV,9894.0000,1996-03-28,1996-03-30
166,112,DoubleYourSavings,DailyPaper,6074.0000,1996-04-11,1996-04-14
167,112,OneDaySale,Radio,14553.0000,1996-04-25,1996-04-26
168,112,BagStuffers,Radio,8678.0000,1996-05-08,1996-05-10
169,112,SuperDuperSavers,ProductAttachment,14340.0000,1996-05-23,1996-05-26
170,112,MoneySavers,SundayPaper|Radio,5901.0000,1996-06-05,1996-06-07
171,112,WalletSavers,SundayPaper|Radio|TV,5581.0000,1996-06-20,1996-06-21
172,112,PriceSmashers,BulkMail,11415.0000,1996-07-04,1996-07-05
173,112,SalesGalore,DailyPaper|Radio,13166.0000,1996-07-18,1996-07-21
174,112,PriceWinners,SundayPaper|Radio,10109.0000,1996-07-31,1996-08-03
175,112,TwoDaySale,Radio,8334.0000,1996-08-15,1996-08-18
176,112,TipTopSavings,Radio,5877.0000,1996-08-29,1996-08-31
177,112,MoneySavers,SundayPaper|Radio,11284.0000,1996-09-10,1996-09-14
178,112,SavingDays,SundayPaper|Radio|TV,6264.0000,1996-09-26,1996-09-29
179,112,SuperDuperSavers,DailyPaper|Radio|TV,13034.0000,1996-10-09,1996-10-11
180,112,SalesDays,CashRegisterHandout,12286.0000,1996-10-23,1996-10-26
181,112,OneDaySale,SundayPaper|Radio,12566.0000,1996-11-07,1996-11-11
182,112,MoneySavers,In-StoreCoupon,12927.0000,1996-11-20,1996-11-22
183,112,GreenLightDays,ProductAttachment,14799.0000,1996-12-04,1996-12-07
184,112,PriceSmashers,SundayPaper|Radio|TV,5761.0000,1996-12-20,1996-12-23
185,112,SuperWalletSavers,DailyPaper|Radio,10914.0000,1997-01-03,1997-01-07
186,112,SavingDays,DailyPaper|Radio|TV,9311.0000,1997-01-15,1997-01-17
187,112,PriceDestroyers,DailyPaper|Radio|TV,5827.0000,1997-01-29,1997-02-01
188,112,MysterySale,BulkMail,8497.0000,1997-02-12,1997-02-14
189,112,GreenLightDays,SundayPaper|Radio,5868.0000,1997-02-28,1997-03-03
190,112,GreenLightSpecial,In-StoreCoupon,12302.0000,1997-03-12,1997-03-14
191,112,SaleWinners,SundayPaper|Radio,7363.0000,1997-03-26,1997-03-28
192,112,PriceSavers,ProductAttachment,14398.0000,1997-04-11,1997-04-13
193,112,TwoDaySale,CashRegisterHandout,10543.0000,1997-04-24,1997-04-25
194,112,SaleWinners,SundayPaper|Radio,12359.0000,1997-05-06,1997-05-07
195,112,PriceSlashers,SundayPaper|Radio|TV,8621.0000,1997-05-21,1997-05-22
196,112,BagStuffers,StreetHandout,14709.0000,1997-06-04,1997-06-05
197,112,ThreeforOne,SundayPaper,11825.0000,1997-06-18,1997-06-20
198,112,BestSavings,In-StoreCoupon,9022.0000,1997-07-03,1997-07-05
199,112,Save-ItSale,DailyPaper|Radio,6484.0000,1997-07-15,1997-07-17
200,112,SavingDays,SundayPaper,14282.0000,1997-07-31,1997-08-03
201,112,SalesDays,DailyPaper,6271.0000,1997-08-13,1997-08-14
202,112,PriceDestroyers,SundayPaper|Radio,11505.0000,1997-08-27,1997-08-31
203,112,OneDaySale,CashRegisterHandout,14856.0000,1997-09-09,1997-09-11
204,112,ShelfClearingDays,In-StoreCoupon,10921.0000,1997-09-23,1997-09-24
205,112,YouSaveDays,SundayPaper,5127.0000,1997-10-09,1997-10-13
206,112,SuperSavers,TV,8397.0000,1997-10-24,1997-10-26
207,112,SuperDuperSavers,CashRegisterHandout,12950.0000,1997-11-05,1997-11-09
208,112,ICantBelieveItSale,SundayPaper|Radio,14165.0000,1997-11-21,1997-11-22
209,112,BigTimeSavings,StreetHandout,13245.0000,1997-12-05,1997-12-06
210,112,PriceCutters,CashRegisterHandout,14552.0000,1997-12-19,1997-12-22
211,112,PickYourSavings,DailyPaper,7650.0000,1997-12-30,1998-01-02
212,112,GoForIt,Radio,10574.0000,1998-01-15,1998-01-17
213,112,PriceCutters,StreetHandout,14526.0000,1998-01-28,1998-01-30
214,112,CouponSpectacular,TV,5147.0000,1998-02-13,1998-02-15
215,112,UnbeatablePriceSavers,ProductAttachment,9445.0000,1998-02-24,1998-02-28
216,112,PriceWinners,DailyPaper,14078.0000,1998-03-11,1998-03-13
217,112,OneDaySale,BulkMail,12903.0000,1998-03-26,1998-03-28
218,112,PriceCutters,SundayPaper,7629.0000,1998-04-09,1998-04-11
219,112,PriceSmashers,DailyPaper,7817.0000,1998-04-21,1998-04-22
220,112,HighRollerSavings,DailyPaper|Radio|TV,6815.0000,1998-05-07,1998-05-09
221,112,PriceDestroyers,StreetHandout,10513.0000,1998-05-21,1998-05-22
222,112,TwoforOne,ProductAttachment,10620.0000,1998-06-04,1998-06-06
223,112,SuperWalletSavers,CashRegisterHandout,12008.0000,1998-06-17,1998-06-19
224,112,DollarCutters,TV,6618.0000,1998-07-02,1998-07-05
225,112,PriceWinners,StreetHandout,12533.0000,1998-07-15,1998-07-17
226,112,PriceSlashers,DailyPaper,10677.0000,1998-07-29,1998-08-01
227,112,ShelfClearingDays,SundayPaper,10610.0000,1998-08-11,1998-08-14
228,112,BigPromo,SundayPaper|Radio|TV,13027.0000,1998-08-27,1998-08-31
229,112,DimesOff,Radio,13815.0000,1998-09-08,1998-09-11
230,112,PickYourSavings,ProductAttachment,7340.0000,1998-09-24,1998-09-26
231,112,SavingsGalore,StreetHandout,8474.0000,1998-10-08,1998-10-10
232,112,PriceCutters,TV,12599.0000,1998-10-22,1998-10-25
233,112,MoneySavers,SundayPaper|Radio|TV,8261.0000,1998-11-05,1998-11-07
234,112,ThreeforOne,DailyPaper|Radio|TV,9822.0000,1998-11-19,1998-11-22
235,112,BigTimeSavings,CashRegisterHandout,10911.0000,1998-12-03,1998-12-06
236,112,FreeForAll,Radio,14090.0000,1998-12-16,1998-12-19
237,112,SuperDuperSavers,In-StoreCoupon,14624.0000,1998-12-29,1998-12-30
239,113,PriceDestroyers,SundayPaper,12447.0000,1996-01-16,1996-01-17
240,113,BigPromo,BulkMail,9990.0000,1996-02-01,1996-02-04
241,113,DoubleYourSavings,TV,5397.0000,1996-02-14,1996-02-18
242,113,ShelfEmptiers,In-StoreCoupon,10377.0000,1996-03-01,1996-03-03
243,113,Save-ItSale,StreetHandout,7147.0000,1996-03-14,1996-03-17
244,113,CouponSpectacular,SundayPaper|Radio,6399.0000,1996-03-29,1996-04-02
245,113,ByeByeBaby,In-StoreCoupon,10581.0000,1996-04-10,1996-04-13
246,113,PickYourSavings,DailyPaper|Radio,10942.0000,1996-04-23,1996-04-27
247,113,SuperWalletSavers,DailyPaper,8913.0000,1996-05-09,1996-05-10
248,113,WalletSavers,BulkMail,9874.0000,1996-05-22,1996-05-26
249,113,PriceSavers,Radio,5027.0000,1996-06-04,1996-06-06
250,113,MysterySale,StreetHandout,13425.0000,1996-06-21,1996-06-24
251,113,BestSavings,In-StoreCoupon,9940.0000,1996-07-04,1996-07-06
252,113,PriceSlashers,CashRegisterHandout,12611.0000,1996-07-18,1996-07-22
253,113,PickYourSavings,DailyPaper|Radio,9981.0000,1996-07-31,1996-08-01
254,113,PriceWinners,SundayPaper,6416.0000,1996-08-15,1996-08-18
255,113,OneDaySale,TV,8034.0000,1996-08-29,1996-08-30
256,113,MysterySale,Radio,12414.0000,1996-09-13,1996-09-16
257,113,UnbeatablePriceSavers,ProductAttachment,14657.0000,1996-09-25,1996-09-28
258,113,GreenLightDays,ProductAttachment,9128.0000,1996-10-10,1996-10-12
259,113,HighRollerSavings,Radio,12734.0000,1996-10-25,1996-10-28
260,113,OneDaySale,In-StoreCoupon,11478.0000,1996-11-07,1996-11-10
261,113,FantasticDiscounts,ProductAttachment,8594.0000,1996-11-22,1996-11-26
262,113,ICantBelieveItSale,SundayPaper,5791.0000,1996-12-04,1996-12-05
263,113,SaleWinners,Radio,10598.0000,1996-12-19,1996-12-22
264,113,ThreeforOne,ProductAttachment,11051.0000,1997-01-03,1997-01-05
265,113,SavingsGalore,SundayPaper,10384.0000,1997-01-16,1997-01-18
266,113,OneDaySale,Radio,6952.0000,1997-01-28,1997-01-31
267,113,ICantBelieveItSale,TV,12960.0000,1997-02-13,1997-02-17
268,113,ShelfEmptiers,SundayPaper,12466.0000,1997-02-27,1997-03-02
269,113,WeekendMarkdown,DailyPaper|Radio,9328.0000,1997-03-14,1997-03-16
270,113,Save-ItSale,CashRegisterHandout,12599.0000,1997-03-28,1997-03-31
271,113,PriceSmashers,Radio,14495.0000,1997-04-11,1997-04-13
272,113,WeekendMarkdown,DailyPaper|Radio|TV,8367.0000,1997-04-23,1997-04-25
273,113,DollarCutters,SundayPaper|Radio,7446.0000,1997-05-07,1997-05-09
274,113,BestSavings,Radio,6098.0000,1997-05-21,1997-05-22
275,113,CouponSpectacular,ProductAttachment,11851.0000,1997-06-04,1997-06-07
276,113,SavingDays,StreetHandout,11333.0000,1997-06-19,1997-06-21
277,113,GreenLightDays,CashRegisterHandout,5285.0000,1997-07-03,1997-07-05
278,113,GoForIt,StreetHandout,11974.0000,1997-07-17,1997-07-18
279,113,GoForIt,DailyPaper|Radio,13617.0000,1997-07-31,1997-08-03
280,113,Save-ItSale,SundayPaper,10906.0000,1997-08-15,1997-08-16
281,113,PickYourSavings,SundayPaper,9731.0000,1997-08-27,1997-08-30
282,113,CouponSpectacular,CashRegisterHandout,11801.0000,1997-09-10,1997-09-13
283,113,BigTimeSavings,ProductAttachment,14645.0000,1997-09-25,1997-09-28
284,113,GoForIt,SundayPaper|Radio|TV,13643.0000,1997-10-08,1997-10-11
285,113,DollarDays,In-StoreCoupon,7341.0000,1997-10-22,1997-10-25
286,113,DimesOff,DailyPaper|Radio|TV,8694.0000,1997-11-06,1997-11-09
287,113,SaleWinners,DailyPaper|Radio,10083.0000,1997-11-21,1997-11-23
288,113,SaleWinners,ProductAttachment,8134.0000,1997-12-05,1997-12-06
289,113,TwoDaySale,DailyPaper,6705.0000,1997-12-19,1997-12-22
290,113,HighRollerSavings,ProductAttachment,12193.0000,1998-01-01,1998-01-02
291,113,ShelfEmptiers,DailyPaper|Radio,14782.0000,1998-01-14,1998-01-17
292,113,YouSaveDays,In-StoreCoupon,14543.0000,1998-01-30,1998-02-01
293,113,MoneySavers,BulkMail,7987.0000,1998-02-11,1998-02-15
294,113,CouponSpectacular,SundayPaper|Radio|TV,11512.0000,1998-02-25,1998-02-28
295,113,GoForIt,DailyPaper,12646.0000,1998-03-10,1998-03-13
296,113,UnbeatablePriceSavers,DailyPaper,10673.0000,1998-03-26,1998-03-29
297,113,WeekendMarkdown,TV,8990.0000,1998-04-09,1998-04-11
298,113,DoubleDownSale,DailyPaper,7896.0000,1998-04-23,1998-04-27
299,113,GreenLightDays,DailyPaper,7576.0000,1998-05-07,1998-05-10
300,113,BigPromo,DailyPaper|Radio|TV,13410.0000,1998-05-20,1998-05-22
301,113,PriceCutters,DailyPaper|Radio|TV,13944.0000,1998-06-02,1998-06-03
302,113,OneDaySale,DailyPaper|Radio,10887.0000,1998-06-18,1998-06-22
303,113,ByeByeBaby,StreetHandout,11768.0000,1998-07-03,1998-07-04
304,113,TwoDaySale,SundayPaper|Radio|TV,9311.0000,1998-07-16,1998-07-19
305,113,PriceWinners,SundayPaper|Radio|TV,14718.0000,1998-07-29,1998-08-02
306,113,FantasticDiscounts,DailyPaper|Radio|TV,7042.0000,1998-08-14,1998-08-15
307,113,SalesDays,SundayPaper,7743.0000,1998-08-26,1998-08-29
308,113,BigTimeDiscounts,Radio,6995.0000,1998-09-10,1998-09-11
309,113,PriceDestroyers,BulkMail,7275.0000,1998-09-22,1998-09-24
310,113,DoubleDownSale,Radio,7636.0000,1998-10-07,1998-10-10
311,113,PriceDestroyers,SundayPaper,5607.0000,1998-10-21,1998-10-23
312,113,PriceDestroyers,StreetHandout,6568.0000,1998-11-03,1998-11-06
313,113,SavingDays,DailyPaper|Radio|TV,9065.0000,1998-11-19,1998-11-23
314,113,PickYourSavings,In-StoreCoupon,7463.0000,1998-12-02,1998-12-04
315,113,ThreeforOne,BulkMail,6634.0000,1998-12-16,1998-12-19
318,114,TipTopSavings,Radio,14519.0000,1996-01-18,1996-01-21
319,114,WalletSavers,DailyPaper,12235.0000,1996-02-01,1996-02-03
320,114,PriceSlashers,TV,6615.0000,1996-02-14,1996-02-18
321,114,ThreeforOne,SundayPaper|Radio|TV,8858.0000,1996-02-29,1996-03-04
322,114,PickYourSavings,StreetHandout,10674.0000,1996-03-15,1996-03-19
323,114,GreenLightDays,TV,6935.0000,1996-03-27,1996-03-29
324,114,ByeByeBaby,SundayPaper,13024.0000,1996-04-10,1996-04-12
325,114,SavingsGalore,SundayPaper|Radio|TV,10140.0000,1996-04-23,1996-04-25
326,114,FantasticDiscounts,DailyPaper|Radio,9992.0000,1996-05-09,1996-05-11
327,114,MysterySale,TV,6045.0000,1996-05-21,1996-05-23
328,114,HighRollerSavings,SundayPaper,13843.0000,1996-06-05,1996-06-09
329,114,PriceWinners,BulkMail,5832.0000,1996-06-18,1996-06-22
330,114,ByeByeBaby,BulkMail,11066.0000,1996-07-03,1996-07-05
331,114,MoneyGrabbers,CashRegisterHandout,7073.0000,1996-07-16,1996-07-18
332,114,PriceCutters,DailyPaper|Radio,6579.0000,1996-08-02,1996-08-05
333,114,CouponSpectacular,Radio,13441.0000,1996-08-13,1996-08-16
334,114,TwoDaySale,SundayPaper|Radio,14056.0000,1996-08-28,1996-08-30
335,114,TwoforOne,BulkMail,8609.0000,1996-09-11,1996-09-14
336,114,CouponSpectacular,StreetHandout,12480.0000,1996-09-26,1996-09-30
337,114,Save-ItSale,DailyPaper|Radio|TV,11559.0000,1996-10-10,1996-10-13
338,114,PriceSmashers,Radio,6769.0000,1996-10-23,1996-10-27
339,114,BigTimeDiscounts,Radio,9867.0000,1996-11-06,1996-11-10
340,114,MysterySale,DailyPaper,5447.0000,1996-11-19,1996-11-23
341,114,PriceSmashers,SundayPaper|Radio,9399.0000,1996-12-05,1996-12-08
342,114,PriceSavers,DailyPaper,6088.0000,1996-12-20,1996-12-22
343,114,PriceSmashers,Radio,7730.0000,1997-01-03,1997-01-07
344,114,BagStuffers,SundayPaper|Radio|TV,5019.0000,1997-01-15,1997-01-17
345,114,HighRollerSavings,DailyPaper|Radio,13845.0000,1997-01-30,1997-01-31
346,114,GoForIt,Radio,5914.0000,1997-02-13,1997-02-14
347,114,DimesOff,SundayPaper|Radio|TV,8758.0000,1997-02-28,1997-03-02
348,114,TwoDaySale,CashRegisterHandout,9003.0000,1997-03-14,1997-03-16
349,114,PickYourSavings,Radio,10045.0000,1997-03-27,1997-03-28
350,114,DoubleYourSavings,SundayPaper,10152.0000,1997-04-10,1997-04-11
