productclassid,productid,brandname,productname,SKU,SRP,grossweight,netweight,recyclablepackage,lowfat,unitspercase,casesperpallet,shelfwidth,shelfheight,shelfdepth
62,20,BlueLabel,BlueLabelCannedYams,22169209122,2.7800,21.3,19.2,0,1,22,8,5.95,5.22,11.8
58,21,BlueLabel,BlueLabelVegetableSoup,43318244814,2.3300,19.7,18.7,0,1,18,7,11.7,18.8,11.6
62,22,BlueLabel,BlueLabelCannedTomatos,77561696171,2.2900,15,14,0,0,31,13,19,8.73,5.02
58,23,BlueLabel,BlueLabelNoodleSoup,32829326987,1.7500,10.6,9.6,1,0,17,9,19.8,3.16,15.7
58,24,BlueLabel,BlueLabelRegularRamenSoup,12408414483,1.7300,12.8,10.8,0,1,23,8,20.7,21.3,6.98
58,25,BlueLabel,BlueLabelChickenNoodleSoup,62032982707,1.5500,9.48,8.47,1,1,21,10,4.98,4.71,22.4
58,26,BlueLabel,BlueLabelTurkeyNoodleSoup,34751966595,0.8800,16.5,13.5,1,1,21,11,12.8,11,12
58,27,BlueLabel,BlueLabelBeefSoup,29712170958,2.6500,11.2,8.19,0,1,14,12,9.91,7.62,3.1
62,28,BlueLabel,BlueLabelCannedPeas,61668921113,3.9100,21.9,20.8,1,0,33,9,8.1,22,21.5
58,29,BlueLabel,BlueLabelChickenRamenSoup,25866891741,1.7800,17.1,16.1,0,0,34,5,6.61,19.7,22.3
93,30,BlueLabel,BlueLabelCannedTunainWater,93159278035,1.4100,9.71,7.71,1,0,31,5,19.5,16.1,6.61
93,31,BlueLabel,BlueLabelCannedTunainOil,50497145056,1.5500,17.2,15.2,1,0,28,12,19.7,13.6,3.63
94,32,BlueLabel,BlueLabelLargeCannedShrimp,87027297616,2.8600,8.86,6.85,0,0,2,11,8.73,3.34,13.1
95,33,BlueLabel,BlueLabelFancyCannedAnchovies,44581629633,1.3600,8.27,6.27,0,1,16,5,5.9,9.12,17.7
96,34,BlueLabel,BlueLabelFancyCannedClams,50349548459,1.6900,16.7,14.7,1,1,30,9,20.6,14.4,11.9
97,35,BlueLabel,BlueLabelFancyCannedOysters,36162948012,2.2100,18.2,16.2,0,1,23,5,8.28,7.87,6.27
98,36,BlueLabel,BlueLabelFancyCannedSardines,11168633103,1.8000,14,11,1,0,26,5,17.4,16.7,19.4
58,37,BlueLabel,BlueLabelRiceSoup,32317668795,1.5900,21,19,1,1,9,6,15.4,17.5,6.65
3,38,GreenRibbon,GreenRibbonCannedMixedFruit,42658990025,1.3100,14,11,1,1,32,8,11.1,17.2,5.74
3,39,GreenRibbon,GreenRibbonCannedPeaches,33045791983,3.1100,17.5,15.5,1,0,5,7,10.8,17.7,9.04
89,40,King,KingRosySunglasses,36527009606,0.9900,11.7,10.6,1,0,25,13,15.7,12.1,7.7
103,41,Queen,QueenEyeglassScrewdriver,86151577830,0.8900,8.61,5.6,1,0,29,12,18.3,6.34,8.7
102,42,Queen,QueenCityMap,89849260449,2.8200,13.6,11.6,1,0,6,10,3.46,5.58,17.1
15,43,Club,ClubLowFatCottageCheese,18711594939,1.6700,17.7,15.7,1,0,33,11,15.4,3.71,10.7
14,44,Club,ClubLowFatSourCream,50668345093,2.9300,10.7,9.69,0,1,26,5,21.1,17.9,7.32
14,45,Club,ClubSourCream,14866315722,0.5300,13.6,11.6,0,0,9,11,8.57,7.31,3.27
11,46,Club,ClubJackCheese,82158702015,3.4400,14.4,12.3,1,0,19,7,12.7,20.9,7.42
11,47,Club,ClubMuensterCheese,39496569037,2.5700,17.8,15.7,1,0,21,13,22.3,7.03,13.2
11,48,Club,ClubStringCheese,76026721596,1.8800,6.31,3.3,1,1,17,7,5.22,18.7,11.2
11,49,Club,ClubLowFatStringCheese,68700224757,3.3800,17,15,0,0,30,12,22.8,6.48,4.65
11,50,Club,ClubHavartiCheese,74468143582,3.9500,9.95,7.94,0,1,36,9,9.91,22.9,6.24
11,51,Club,ClubHeadCheese,24898700118,1.4700,8.41,5.4,0,1,9,11,13.1,7.54,18.6
11,52,Club,ClubCheeseSpread,66002255082,2.1700,14.5,13.5,1,1,27,13,7.4,10.4,6.06
11,53,Club,ClubSharpCheddarCheese,21053420901,3.6100,18.8,16.7,1,1,18,9,21.6,18.8,6.58
11,54,Club,ClubMildCheddarCheese,31394742131,2.9300,9.58,7.57,0,1,15,14,15.9,11.7,3.87
15,55,Club,ClubLargeCurdCottageCheese,21781544089,3.5000,14.3,12.3,1,0,20,7,12.3,16.8,14.2
76,56,Club,Club2Milk,25262761712,0.7100,20.6,18.6,1,0,21,7,4.1,15.3,11.6
76,57,Club,ClubButtermilk,74887329936,0.6100,20.1,18.1,0,0,33,6,13.5,8.69,16.7
76,58,Club,ClubChocolateMilk,23704183697,2.3100,15.5,13.5,0,0,18,12,10.7,15,13.1
76,59,Club,Club1Milk,42566518187,1.4000,18.8,15.7,0,0,1,6,5.57,16.3,22.1
76,60,Club,ClubWholeMilk,50621138215,2.6600,7.03,5.03,0,0,2,6,4.42,13.3,20.8
6,61,Club,ClubStrawberryYogurt,93602067828,0.7400,13.4,11.3,0,1,22,12,16.3,11.5,13.8
6,62,Club,ClubBlueberryYogurt,70894454121,3.8200,14.1,11.1,0,1,32,8,11,17.4,5.51
81,63,RedSpade,RedSpadeChickenHotDogs,28232321143,2.9500,20.3,18.2,1,1,21,6,4.41,15.9,17.9
91,64,RedSpade,RedSpadePimentoLoaf,64762473702,1.6100,13.2,12.1,1,0,33,6,18.1,17.6,12.4
91,65,RedSpade,RedSpadeBeefBologna,57435976862,3.7600,10.3,9.3,0,1,21,12,4.44,8.8,22.7
91,66,RedSpade,RedSpadeLowFatBologna,63203895688,3.4400,11.9,8.89,1,1,31,9,5,19.1,14.1
81,67,RedSpade,RedSpadeTurkeyHotDogs,25115165114,1.8600,6.15,4.15,0,1,27,12,19.9,7.96,10.3
81,68,RedSpade,RedSpadeFoot-LongHotDogs,90120850205,3.5600,16,14,1,1,2,13,20.2,10,4.12
16,69,RedSpade,RedSpadeLowFatColeSlaw,21269885897,3.1000,16.7,14.7,1,1,6,11,6.13,3.69,3.28
16,70,RedSpade,RedSpadeColeSlaw,42828248143,0.9700,8.83,6.82,0,0,6,13,16.9,12.2,12.6
77,71,RedSpade,RedSpadeRoastedChicken,33215050101,2.7600,21.8,20.7,0,0,7,12,4.55,5.69,7.95
8,72,RedSpade,RedSpadeCornedBeef,36696267724,2.7400,20.2,17.2,0,1,6,6,20.8,11.4,15.2
8,73,RedSpade,RedSpadeSlicedTurkey,86320835947,2.3300,19.1,16.1,0,0,22,11,15.9,9.46,4.95
8,74,RedSpade,RedSpadeSlicedHam,35137689709,1.5700,6.13,5.13,0,1,5,7,3.38,18.8,20.8
16,75,RedSpade,RedSpadePotatoSalad,54000024199,0.6800,16.9,14.8,0,1,26,11,18.1,8.74,11.9
8,76,RedSpade,RedSpadeSlicedChicken,62054644227,1.6900,18.1,17.1,0,1,4,7,14.6,13.5,3.42
66,77,BlueMedal,BlueMedalSmallBrownEggs,50154744982,2.8000,14.7,12.6,0,1,13,12,20,10.2,8.86
66,78,BlueMedal,BlueMedalLargeBrownEggs,27447131276,2.1900,19.5,17.5,1,1,3,6,8.29,14.2,9.13
66,79,BlueMedal,BlueMedalSmallEggs,39665827155,1.3200,12.4,10.3,0,1,9,8,15.3,10.7,10.7
66,80,BlueMedal,BlueMedalLargeEggs,76195979714,3.6300,17.1,14.1,0,0,31,12,12.8,9.1,11.1
66,81,BlueMedal,BlueMedalEggSubstitute,68869482874,2.1300,17,15,0,0,35,7,12.8,18.2,10.5
34,82,Golden,GoldenLowFatWaffles,74637401700,2.7000,21.3,18.2,0,1,25,13,7.06,6.61,11
110,83,Golden,GoldenOrangePopsicles,36548671126,3.8800,18,17,1,0,11,10,10.7,3.3,21.5
100,84,Golden,GoldenFrozenChickenBreast,11554356217,2.8100,14.6,11.6,0,0,3,10,4.7,3.34,4.44
29,85,Golden,GoldenFrozenPancakes,32703391909,1.3600,7.12,5.11,0,1,29,11,9.53,3.09,16.1
63,86,Golden,GoldenLowFatFrenchFries,66946843266,2.9700,14.2,13.1,0,1,3,8,8.7,21.7,10.7
64,87,Golden,GoldenFrozenSausagePizza,57333645224,1.7800,19,17,1,0,19,6,15.2,21.2,18.6
34,88,Golden,GoldenBlueberryWaffles,25695691704,0.8600,7.86,6.86,1,0,6,12,10.5,12.9,18.9
63,89,Golden,GoldenFajitaFrenchFries,51418129801,1.5900,20.5,17.5,0,0,4,7,14,20.7,14.4
34,90,Golden,GoldenWaffles,24137113690,0.7700,10.2,8.19,0,1,2,12,15.1,8.08,19.5
64,91,Golden,GoldenFrozenPepperoniPizza,42999448180,2.6800,12.8,10.8,1,1,17,12,8.94,4.08,3.08
64,92,Golden,GoldenFrozenCheesePizza,51054068207,0.8300,17.1,16.1,1,0,25,5,4.09,16.8,18.6
64,93,Golden,GoldenFrozenMushroomPizza,39154168963,0.9600,16.4,14.3,1,0,21,12,3.11,11.5,13.1
34,94,Golden,GoldenAppleCinnamonWaffles,16446555256,0.6200,7.9,4.9,1,0,1,9,10.5,20.9,8.15
60,95,Golden,GoldenFrozenCarrots,39882292151,1.4600,8.58,5.57,1,0,29,9,16.6,3.52,22.3
10,96,Golden,GoldenTurkeyTVDinner,10314574837,2.1100,10.7,9.69,1,1,35,8,17.5,21.7,13.5
10,97,Golden,GoldenChickenTVDinner,57605234980,0.5900,18.3,16.2,1,0,26,7,16.4,16.9,5.55
10,98,Golden,GoldenBeefTVDinner,63373153805,1.8300,9.43,6.43,0,0,33,11,4.38,3.28,15.2
28,99,Golden,GoldenPancakeMix,25284423232,2.3600,8.83,6.82,1,1,29,13,21.7,17.9,14.7
110,100,Golden,GoldenGrapePopsicles,90290108323,1.9500,9.49,8.48,1,1,6,7,9.3,16.1,6.34
63,101,Golden,GoldenHomeStyleFrenchFries,21439144015,0.7200,20.6,18.6,0,1,13,6,7.8,13.8,7.22
110,102,Golden,GoldenLimePopsicles,55682595372,2.4500,18.2,17.2,0,1,16,10,6.01,18.3,14.8
9,103,Golden,GoldenIceCream,46069397330,0.9500,9.81,8.81,1,0,13,8,6.22,15.8,11.8
9,104,Golden,GoldenIceCreamSandwich,49550614953,3.8900,12.3,10.3,0,1,11,8,9.93,17.4,17.9
60,105,Golden,GoldenFrozenCauliflower,75273053050,3.7200,6.16,4.15,1,0,21,11,22.7,9.49,4.28
60,106,Golden,GoldenFrozenBroccoli,36774995923,2.9600,14.6,11.6,1,1,36,6,17.4,14.7,18.5
60,107,Golden,GoldenFrozenCorn,55637330412,1.8100,19.9,18.8,0,0,25,11,4.91,8.76,11.2
60,108,Golden,GoldenFrozenPeas,63691950440,2.1900,11.9,9.89,1,1,34,6,8.69,9.67,20.5
9,109,Golden,GoldenPopsicles,51792051196,3.9500,19,16,0,0,11,12,6.69,10.4,7.67
100,110,Golden,GoldenFrozenChickenThighs,29084437489,2.3500,12,10,1,1,34,13,22.3,10.2,6.75
100,111,Golden,GoldenFrozenChickenWings,52520174384,3.4800,15.4,13.3,1,1,17,12,22,10.7,10
110,112,Golden,GoldenLemonPopsicles,89050326943,1.1300,9.35,7.35,0,1,35,5,21.9,15,13.8
78,113,FauxProducts,FauxProductsSilkySmoothHairConditioner,15625960230,2.2900,19.7,17.7,1,0,8,12,14.5,8.23,15
39,114,FauxProducts,FauxProductsTartarControlToothpaste,21393879055,0.9200,20.6,19.6,0,0,31,11,19.1,10.5,9.73
39,115,FauxProducts,FauxProductsWhiteningToothpast,14283847212,0.6500,20.6,18.6,1,0,33,13,10.6,11.7,9.62
39,116,FauxProducts,FauxProductsToothpaste,79289532303,3.9700,8.33,5.32,1,0,8,10,7.45,20.8,13.4
39,117,FauxProducts,FauxProductsDeodorant,10438567996,2.7500,9.24,7.23,0,0,31,10,12,3.12,8.19
79,118,FauxProducts,FauxProductsConditioningShampoo,44682019352,1.4800,8.27,6.27,1,0,20,13,8.55,14.1,3.48
79,119,FauxProducts,FauxProductsExtraMoistureShampoo,35068821310,2.2800,20.1,19.1,0,0,7,12,7.86,8.33,14.7
88,120,FauxProducts,FauxProductsAngledToothbrush,14647908806,2.2600,12.9,9.89,0,0,23,13,9.99,5.6,22
79,121,FauxProducts,FauxProductsApricotShampoo,64272477030,2.9800,11.6,8.6,1,0,21,11,21.4,6.61,22.4
70,122,FauxProducts,FauxProductsChildrensAspirin,36991460919,1.9900,12.5,10.5,0,0,9,10,6.11,8.89,17.1
70,123,FauxProducts,FauxProductsBufferedAspirin,31951665282,3.8400,12.4,9.39,0,0,21,7,3.1,17.5,22.6
71,124,FauxProducts,FauxProducts200MGIbuprofen,52691374421,1.2100,13.3,10.3,1,0,8,11,7.72,19.7,17.3
72,125,FauxProducts,FauxProducts200MGAcetominifen,16889345049,2.3200,11.1,9.1,0,0,31,11,15.1,5.18,8.03
73,126,FauxProducts,FauxProductsHCLNasalSpray,18083861470,1.6100,20.8,19.7,1,0,22,6,21.3,18,5.03
73,127,FauxProducts,FauxProductsDishwasherDetergent,41519598364,1.7400,16.7,13.7,1,0,10,14,20.6,12.2,16.3
75,128,FauxProducts,FauxProductsMulti-SymptomColdRemedy,78049750924,0.5300,14.5,12.5,0,0,26,5,8.09,17.6,7.02
75,129,FauxProducts,FauxProductsChildrensColdRemedy,94625384211,1.5500,9.49,7.48,1,0,23,13,14.2,10.6,3.49
74,130,FauxProducts,FauxProductsLaundryDetergent,10393303036,2.2300,21.3,20.2,1,0,10,12,13.5,4.82,14.7
74,131,FauxProducts,FauxProductsMintMouthwash,62304572463,2.4000,19.1,16.1,0,0,26,13,20.9,10.2,5.48
80,132,Denny,Denny60WattLightbulb,37310257554,1.9200,20,18,1,0,14,12,5.59,12.5,20.2
56,133,Denny,DennyPlasticForks,90229007601,0.7000,14,12,0,0,3,6,16.7,15.4,12
56,134,Denny,DennyPlasticSpoons,34472458958,2.4300,6.83,4.82,1,0,18,7,18.8,12.6,19.3
56,135,Denny,DennyPlasticKnives,24859260916,3.8900,7.74,4.73,0,0,6,6,3.51,14.9,14
101,136,Denny,DennyC-SizeBatteries,94438348412,3.8700,17.4,15.3,0,0,33,10,9.7,7.86,11
80,137,Denny,Denny100WattLightbulb,54062916636,3.7000,13.3,11.3,1,0,13,11,9.01,22,22.3
101,138,Denny,DennyAAA-SizeBatteries,26781900525,2.7000,12.3,10.3,1,0,7,13,16.3,7.58,12.5
55,139,Denny,DennyPaperPlates,21742104887,1.7900,21.1,19.1,0,0,16,10,18.5,4.85,19.7
55,140,Denny,DennyPaperCups,53698855042,1.8200,6.03,4.03,0,0,4,10,3.14,7.13,14.5
80,141,Denny,Denny75WattLightbulb,96679784655,3.9300,15.7,13.6,1,0,2,8,9.33,20,11.5
22,142,Denny,DennyToiletBowlCleaner,97874301075,2.3200,8.48,6.47,0,0,11,5,11.4,17.2,18.7
22,143,Denny,DennyCounterCleaner,31310037970,2.4600,9.39,7.39,0,0,5,8,16,19.5,13.4
22,144,Denny,DennyGlassCleaner,67840190529,0.5100,20.3,18.2,1,0,2,7,22.2,12.6,9.96
80,145,Denny,Denny25WattLightbulb,84415823817,2.2700,21.2,20.2,0,0,25,6,6.82,14.9,4.67
101,146,Denny,DennyAA-SizeBatteries,90183742642,3.8300,14,12,1,0,35,12,8.95,12.1,11.9
101,147,Denny,DennyD-SizeBatteries,52095012068,0.6400,13,12,1,0,29,10,5.44,3.22,7.24
18,148,Denny,DennyPaperTowels,27100697159,3.9500,8.94,6.93,1,0,17,9,4.75,17.3,18.5
18,149,Denny,DennySoftNapkins,48249732851,2.4900,17.6,16.6,1,0,27,6,6.87,14.6,5.81
18,150,Denny,DennyScentedTissue,45905964970,3.4500,18.6,16.6,1,0,15,14,11.4,16.9,20.5
18,151,Denny,DennyToiletPaper,36292766928,2.9100,12.3,10.3,1,0,12,13,17.6,9.81,17.5
18,152,Denny,DennyTissues,15871854424,2.8900,17.2,15.2,1,0,31,13,19.9,6.55,6.38
18,153,Denny,DennyScentedToiletTissue,96475121378,2.7200,18.1,17.1,0,0,19,12,4.6,8.83,21
20,154,Denny,DennyRoomFreshener,69194105267,1.9600,16.8,13.7,1,0,16,11,16.1,9.84,21.5
40,155,Denny,DennyFryingPan,64154309630,3.8100,20.6,18.6,1,0,26,8,12.9,18.9,5.37
87,156,Denny,DennyCopperCleaner,96111059784,0.5500,21.5,19.5,0,0,20,11,17.5,21.2,20
47,157,Denny,DennyBeesWaxCandles,60309030413,2.9500,20.2,18.2,1,0,18,9,9.04,22.2,20.5
87,158,Denny,DennySilverCleaner,37601416707,1.5800,21.1,18.1,0,0,5,8,13.6,4.56,15.2
86,159,Denny,DennyCopperPotScrubber,84939283728,1.7100,10.1,8.1,0,0,14,5,10.4,13.8,18.5
85,160,Denny,DennyEconomyToiletBrush,31469436287,2.1300,9.18,7.18,0,0,3,9,6.91,4.92,13.8
41,161,Denny,DennyScissors,24142939448,1.5200,10,8,1,0,32,11,11.5,7.21,8.55
42,162,Denny,DennyLargeSponge,18693817257,2.8500,13.8,10.8,1,0,6,8,8.34,16.3,12.4
41,163,Denny,DennyScrewDriver,94507216811,2.3800,14.7,11.6,0,0,4,7,12.9,18.6,7.11
65,164,ShipShape,ShipShapeExtraLeanHamburger,69512901902,2.9700,13.4,11.3,1,1,27,6,4.46,19.6,7.53
65,165,ShipShape,ShipShapeSeasonedHamburger,90661937594,1.7500,8.26,6.26,0,0,31,10,9.36,3.99,16
104,166,Robust,RobustMonthlySportsMagazine,11003258824,2.4700,11.2,10.1,1,0,31,6,6.67,18.9,14.4
108,167,Robust,RobustMonthlyAutoMagazine,91390060782,0.6000,14.4,13.3,0,0,6,11,13.8,5.88,18.3
107,168,Robust,RobustMonthlyComputerMagazine,94871278405,1.2600,10.4,8.39,0,0,23,11,11.6,8.92,9.67
105,169,Robust,RobustMonthlyHomeMagazine,54495846629,1.9800,19.5,17.5,1,0,29,11,17.2,5.11,11.8
106,170,Robust,RobustMonthlyFashionMagazine,57929857373,3.2000,9.56,8.56,0,0,23,9,5.74,4.41,9.95
61,171,HighTop,HighTopSummerSquash,76792191863,2.9500,18.7,17.7,0,0,30,9,11.3,20.6,12
61,172,HighTop,HighTopCornontheCob,18748942017,3.3200,16.1,14.1,0,1,3,8,12.3,18.4,4.75
61,173,HighTop,HighTopAsparagus,72946912646,1.4300,21.9,20.8,0,0,13,13,22,9.15,7.34
61,174,HighTop,HighTopSweetPeas,50239298939,1.7100,13.4,11.3,1,0,22,8,12.3,21,21.8
61,175,HighTop,HighTopNewPotatos,97577165961,3.8500,6.82,4.82,1,1,16,8,13,15.4,13.2
61,176,HighTop,HighTopBeets,44107318520,2.2700,12.1,10.1,1,0,29,7,10.4,14.9,8.42
61,177,HighTop,HighTopPreparedSalad,36780821681,1.6600,10.5,8.5,0,0,19,14,5,16.2,3.3
61,178,HighTop,HighTopOnions,42548740506,1.3300,19.5,16.5,1,1,25,7,20.3,18.2,12.3
61,179,HighTop,HighTopGreenPepper,83242968916,2.7500,19.7,18.7,0,1,2,6,3.93,15.1,21.6
61,180,HighTop,HighTopShitakeMushrooms,34346523880,0.6900,12.3,11.3,0,0,17,9,17.3,18.2,10.9
61,181,HighTop,HighTopLettuce,79397689700,0.9300,16.1,14.1,0,1,23,5,16.1,15.1,14.5
61,182,HighTop,HighTopElephantGarlic,89739010930,1.8400,9.05,6.05,0,1,11,12,13.2,6.07,13.5
61,183,HighTop,HighTopRedPepper,80125812888,2.4100,7.06,5.05,1,0,22,8,4.13,19.5,18.6
61,184,HighTop,HighTopGarlic,83607030510,3.4000,20,18,1,1,22,13,22.7,11.8,6.41
61,185,HighTop,HighTopPotatos,43231598734,0.5700,9.3,7.3,1,0,24,12,11.4,8.03,4.14
61,186,HighTop,HighTopCauliflower,82048452496,2.2300,18.7,17.7,0,0,20,7,9.53,13.4,8.09
61,187,HighTop,HighTopTomatos,10910786986,1.3200,14.8,13.8,0,1,15,6,12.6,13.4,3.67
61,188,HighTop,HighTopMushrooms,18965407013,2.5800,14.7,11.6,1,1,14,8,22.3,19.2,10.6
61,189,HighTop,HighTopBabyOnion,61946336627,3.4500,8.51,6.51,1,0,4,13,5.62,8.03,21.8
61,190,HighTop,HighTopDriedMushrooms,39238722920,3.7400,18.7,17.7,1,1,29,6,9.59,17.9,5.47
61,191,HighTop,HighTopFreshLimaBeans,86576589941,2.8700,12.6,9.6,1,0,22,7,19.9,14.4,16.7
61,192,HighTop,HighTopSquash,33106742501,1.5200,10.7,7.69,0,1,4,7,20.3,15.6,14.2
99,193,HighTop,HighTopLimes,25780245661,3.6800,11.8,9.8,1,0,11,13,8.64,14.9,18.3
67,194,HighTop,HighTopFirmTofu,31548164486,3.3600,11.6,8.6,1,1,21,11,18.8,7.38,10.2
1,195,HighTop,HighTopAlmonds,83459433913,1.7700,8.72,6.72,0,1,24,13,17.6,13,10.4
99,196,HighTop,HighTopMacintoshApples,58465119004,2.4700,12.1,10.1,1,1,27,10,7.29,19.1,16.2
99,197,HighTop,HighTopGoldenDelciousApples,79614154696,2.9100,21.5,19.5,0,1,29,7,15.4,18.9,17.6
99,198,HighTop,HighTopRedDelciousApples,78738434910,0.9200,17.2,14.2,1,1,27,13,6.26,7.83,5.92
99,199,HighTop,HighTopLemons,69125236868,1.6700,19.2,18.2,1,0,33,10,19.8,4.92,4.65
99,200,HighTop,HighTopFancyPlums,72606454491,2.6500,6.74,4.73,0,0,12,6,8.38,17.6,20.4
99,201,HighTop,HighTopPlums,32231022715,2.2500,14.7,12.6,0,0,29,14,10.8,11.8,7.33
99,202,HighTop,HighTopPeaches,71047876477,1.4900,11.8,8.8,0,0,24,6,6.61,10.7,10.1
61,203,HighTop,HighTopBroccoli,89910210967,0.6300,8.85,5.85,1,0,27,5,6.17,12,10.3
99,204,HighTop,HighTopMandarinOranges,97964830994,1.6000,13.6,10.6,0,0,31,7,22.6,17,20.7
1,205,HighTop,HighTopMixedNuts,86064931750,2.7100,13.9,11.8,1,0,9,5,4.96,11.8,5
1,206,HighTop,HighTopCannedPeanuts,50672228932,2.1100,10.9,7.89,0,1,15,7,22.6,19.6,17.8
61,207,HighTop,HighTopSweetOnion,98010095953,1.2400,13.5,11.5,1,1,7,14,16,17.8,11.3
99,208,HighTop,HighTopCantelope,44540248513,2.4700,13.4,10.3,1,1,23,6,6.06,21.4,8.32
99,209,HighTop,HighTopHoneyDew,37213751673,1.8700,17.3,15.2,1,0,16,6,7.99,18.6,21.4
99,210,HighTop,HighTopFujiApples,42981670498,1.5400,17,14,0,1,27,10,16.1,4.23,13.8
1,211,HighTop,HighTopWalnuts,94892939925,2.7200,14.5,12.5,1,0,1,7,4.6,12.1,14
99,212,HighTop,HighTopOranges,69898625016,1.6600,9.78,7.77,0,0,14,9,13.1,4.27,12.3
99,213,HighTop,HighTopTangerines,91047660708,0.5600,7.22,5.21,1,0,11,11,4.08,7.71,7.56
1,214,HighTop,HighTopPartyNuts,35291112065,2.8200,21.6,19.6,1,1,18,13,8.56,14.5,4.93
24,215,TipTop,TipTopLox,80295071005,0.7900,14.1,11.1,1,0,10,13,12.1,12,11.6
2,216,TipTop,TipTopScallops,83776288628,3.6000,21.3,20.2,1,1,22,7,18.3,18.3,6.31
45,217,BestChoice,BestChoiceLowFatCookies,19498726725,0.6800,16,14,1,0,21,13,14.4,10.5,22.3
12,218,BestChoice,BestChoiceBBQPotatoChips,82217710614,3.4400,16.2,14.2,0,0,13,6,19.8,12,4.03
12,219,BestChoice,BestChoiceCornChips,11080045104,2.5200,20.6,18.6,1,1,15,12,22.4,14.8,7.04
12,220,BestChoice,BestChoiceLowFatBBQChips,19134665131,2.5500,12.2,10.1,0,1,7,7,12.5,17.8,6.56
45,221,BestChoice,BestChoiceSugarCookies,97234765887,3.6600,15.2,13.1,0,0,36,14,8.6,10.5,20
45,222,BestChoice,BestChoiceChocolateChipCookies,74527152180,3.9500,15,12,0,1,29,9,19.9,16.3,21.9
45,223,BestChoice,BestChoiceFudgeCookies,97962889075,3.1900,20.3,19.2,1,0,36,6,7.02,12.5,4.67
45,224,BestChoice,BestChoiceFudgeBrownies,33276000618,1.7300,8.24,6.23,0,0,32,7,10.6,14.2,10.2
12,225,BestChoice,BestChoicePotatoChips,25949503779,3.8900,19.8,16.7,0,0,7,5,11.5,17.5,15.9
45,226,BestChoice,BestChoiceLemonCookies,31717422604,0.7600,10.4,7.39,1,1,22,13,18.1,11.6,10.7
45,227,BestChoice,BestChoiceGrahamCrackers,83628692030,1.9800,15.7,14.6,0,1,12,9,5.65,5.62,3.49
82,228,BestChoice,BestChoiceCheeseCrackers,58634377121,0.8200,8.71,6.71,0,1,11,14,22.6,7.63,7.58
54,229,BestChoice,BestChoiceButteredPopcorn,79783412814,2.2300,13.6,10.6,0,0,33,10,7.48,7.12,20.4
54,230,BestChoice,BestChoiceNoSaltPopcorn,24026864171,1.1900,14.7,12.6,1,1,21,12,5.64,11.9,6.97
54,231,BestChoice,BestChoiceLowFatPopcorn,14413666129,2.6500,10,8,0,0,30,11,22.8,7.41,22.8
83,232,BestChoice,BestChoiceSalsaDip,17894883751,2.6300,16.1,15.1,0,0,16,9,17.4,3.75,22.6
83,233,BestChoice,BestChoiceAvocadoDip,98498150706,2.4600,18.6,16.6,1,0,1,9,12.4,21.9,11.2
46,234,BestChoice,BestChoiceSaltedPretzels,71217134594,2.7000,14.4,12.3,0,1,17,5,22.1,17.5,9.5
